state_abbrev,city,total_incidents,deaths,deaths_over_incidents,injured,injuries_over_incidents,total_casualties,casualties_over_incidents,armed_robbery,armed_robberies_over_incidents,gang_involvement,gang_incidents_over_incidents,home_invasion,home_invasions_over_incidents,domestic_violence,domestic_violence_incidents_over_incidents,road_rage,road_rage_incidents_over_incidents,mass_shooting,mass_shootings_over_incidents,teen_incidents,teen_incidents_over_incidents,drug_raid,drug_raids_over_incidents,suicide,suicides_over_incidents
LA,Monroe,150,42,0.28,73,0.486666667,115,0.766666667,18,0,0,0,7,0,6,0,0,0,1,0,0,0,1,0,2,0
AL,Auburn,51,19,0.37254902,20,0.392156863,39,0.764705882,3,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,3,0
CO,Denver,690,208,0.301449275,319,0.462318841,527,0.763768116,27,0,15,0,21,0,11,0,4,0,6,0,4,0,4,0,6,0
SC,North Charleston,395,111,0.281012658,190,0.481012658,301,0.762025316,37,0,1,0,9,0,6,0,3,0,4,0,3,0,24,0,3,0
AL,Dothan,84,16,0.19047619,48,0.571428571,64,0.761904762,10,0,0,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0
MI,Muskegon,67,13,0.194029851,38,0.567164179,51,0.76119403,9,0,0,0,1,0,7,0,0,0,2,0,3,0,1,0,0,0
GA,Gainesville,54,16,0.296296296,25,0.462962963,41,0.759259259,4,0,1,0,3,0,5,0,0,0,0,0,0,0,7,0,3,0
PA,Allentown,203,44,0.216748768,110,0.541871921,154,0.75862069,14,0,5,0,10,0,12,0,3,0,0,0,1,0,14,0,5,0
CA,San Diego,372,116,0.311827957,166,0.446236559,282,0.758064516,36,0,14,0,14,0,14,0,1,0,5,0,4,0,5,0,15,0
CA,Bakersfield,605,153,0.252892562,305,0.504132231,458,0.757024793,18,0,106,0,7,0,12,0,2,0,5,0,0,0,17,0,12,0
OH,Springfield,186,39,0.209677419,101,0.543010753,140,0.752688172,8,0,1,0,14,0,9,0,1,0,2,0,6,0,2,0,3,0
FL,Tampa,602,151,0.250830565,302,0.50166113,453,0.752491694,58,0,0,0,22,0,13,0,10,0,7,0,2,0,6,0,7,0
FL,Palm Bay,60,13,0.216666667,32,0.533333333,45,0.75,1,0,0,0,4,0,8,0,2,0,1,0,0,0,3,0,0,0
TN,Madison,76,15,0.197368421,42,0.552631579,57,0.75,14,0,0,0,9,0,1,0,1,0,0,0,2,0,1,0,0,0
IN,Muncie,87,19,0.218390805,46,0.528735632,65,0.747126437,11,0,1,0,10,0,7,0,0,0,0,0,6,0,7,0,0,0
CA,Oakland,1478,321,0.217185386,783,0.529769959,1104,0.746955345,77,0,19,0,34,0,6,0,10,0,13,0,1,0,3,0,4,0
IL,Waukegan,51,12,0.235294118,26,0.509803922,38,0.745098039,11,0,2,0,0,0,2,0,0,0,0,0,2,0,5,0,0,0
MS,Tupelo,70,17,0.242857143,35,0.5,52,0.742857143,2,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0
